Total 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,15,"1,469,999,981","1,319,999,981",11,"1,289,999,962","1,729,999,924","1,860,000,038",18,"1,639,999,962","1,469,999,981","1,489,999,962","15,5","14,5","1,319,999,981",12,"13,5","1,280,000,019","1,210,000,038","11,5","1,069,999,981"
Canada,"1,269,999,981","1,810,000,038","1,910,000,038","1,720,000,076","1,589,999,962","1,469,999,981","1,310,000,038","1,139,999,962","1,089,999,962","1,230,000,019","1,569,999,981","1,710,000,038","1,710,000,038","1,580,000,019","1,480,000,019","1,539,999,962","1,620,000,076","1,510,000,038",14,"1,260,000,038","1,289,999,962","1,360,000,038","1,360,000,038","1,330,000,019","1,239,999,962"
Czech Rep.,,,,,,,,,,,,,"8,5","8,600,000,381","7,699,999,809","7,199,999,809","8,600,000,381","1,239,999,962",17,"1,689,999,962","1,660,000,038",16,"1,760,000,038","2,029,999,924","2,070,000,076"
Estonia,,,,,,,,,,,,,,,,,,,,"23,5","2,170,000,076","1,689,999,962","19,5","2,070,000,076","1,510,000,038"
Finland,"9,199,999,809","9,800,000,191","10,5","9,800,000,191","9,100,000,381","9,699,999,809","8,899,999,619","7,800,000,191","8,100,000,381","8,699,999,809",15,"24,5","3,060,000,038","3,120,000,076","2,689,999,962",25,"2,329,999,924","2,170,000,076","2,020,000,076","2,029,999,924","1,879,999,924","1,989,999,962","2,060,000,038","19,5","1,879,999,924"
France,"17,5","1,879,999,924","1,960,000,038","2,320,000,076","2,320,000,076","2,229,999,924",21,"1,939,999,962","17,5","1,660,000,038","1,839,999,962","2,060,000,038",24,25,"23,5","2,479,999,924","2,489,999,962","2,329,999,924","2,189,999,962","1,860,000,038","1,810,000,038","1,920,000,076","2,110,000,038","22,5","22,5"
Germany,,,,,,,,,,,"5,400,000,095","6,199,999,809","7,599,999,905","8,199,999,809","8,199,999,809","9,399,999,619","1,019,999,981",9,"8,199,999,809","8,399,999,619","8,199,999,809","9,600,000,381","1,130,000,019","1,310,000,038","1,519,999,981"
"Hong Kong, China",,,,,"5,800,000,191","5,599,999,905","3,700,000,048","3,400,000,095","2,799,999,952","3,299,999,952","4,099,999,905","4,300,000,191","4,599,999,905","4,5","6,800,000,191","6,400,000,095",5,"1,030,000,019","1,319,999,981","1,060,000,038","1,130,000,019",15,15,"1,219,999,981","1,080,000,019"
Ireland,,,"2,010,000,038","2,220,000,076","23,5","25,5","24,5","2,389,999,962","20,5","1,760,000,038","2,170,000,076","2,310,000,038","2,520,000,076","2,329,999,924","1,910,000,038","1,820,000,076","1,610,000,038","1,160,000,038","8,5","6,400,000,095","6,099,999,905","7,699,999,809","7,800,000,191","8,100,000,381","8,300,000,191"
Japan,4,"4,300,000,191","4,5","4,900,000,095","4,800,000,191","5,199,999,809","5,199,999,809","4,900,000,095","4,5","4,300,000,191","4,300,000,191","4,5","5,099,999,905","5,5","6,099,999,905","6,599,999,905","6,699,999,809","7,699,999,809","9,100,000,381","9,199,999,809","9,600,000,381","9,899,999,619","1,010,000,038","9,5","8,699,999,809"
"Korea, Rep.",,,,,,,,,,,,"7,5","8,899,999,619","7,199,999,809","6,199,999,809",6,"7,5","1,560,000,038","1,369,999,981","1,060,000,038","1,010,000,038","8,399,999,619","9,899,999,619","1,030,000,019",10
Latvia,,,,,,,,,,,,,,,,"3,220,000,076","2,479,999,924","2,570,000,076","2,460,000,038","2,270,000,076","2,220,000,076","2,070,000,076","1,839,999,962",18,"1,269,999,981"
